ID	Name (ext)	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
48	4.7nF 50V (mod)	C301,C302	C0603	2	0603B472K500NT	FH(Guangdong Fenghua Advanced Tech)	LCSC	C53987	
49	33pF 50V (mod)	C303	C0603	1	CL10C330JB8NNNC	Samsung Electro-Mechanics	LCSC	C1663	
50	100nF 50V (mod)	C304	C0603	1	CC0603KRX7R9BB104	YAGEO	LCSC	C14663	
51	22uF 6.3V (mod)	C305,C306,C307	C0603	3	CL10A226MQ8NRNC	Samsung Electro-Mechanics	LCSC	C59461	
52	SS12/BKN (ext)	D101,D102	SMA_L4.4-W2.8-LS5.4-RD	2	SS12/BKN	ON Semicon	LCSC	C184027	
53	MMSZ5231B (ext)	D200,D201	SOD-123_L2.8-W1.8-LS3.7-RD	2	MMSZ5231B	CJ	LCSC	C21563	
54	PTVS26VS1UR,115 (ext)	D202	SOD-123_L2.7-W1.6-LS3.7-RD	1	PTVS26VS1UR,115	Nexperia	LCSC	C456116	
55	SS34_C8678	D300,D301,D2,D6,D28	DO-214AC_L4.3-W2.7-LS5.3-RD	5	SS34	MDD	LCSC	C8678	
56	white  (mod)	DCDC,WASPWR	LED0603-RD	2	C2290	Hubei KENTO Elec	LCSC	C2290	
57	A2541WV-2X4P (ext)	H13,H15,H1,H6,H7,H10	HDR-TH_8P-P2.54-V-R2-C4-S2.54_A2541WV-2X4P	6	A2541WV-2x4P	Changjiang Connectors	LCSC	C225519	
58	4.7uH (ext)	L100	IND-SMD_L13.45-W12.6	1	FXL1360-4R7-M	cjiang(Changjiang Microelectronics Tech)	LCSC	C526021	
59	6.8uH (ext)	L300	IND-SMD_L6.0-W6.0_SWPA6045S	1	SWPA6028S6R8MT	Sunlord	LCSC	C42261	
60	orange (ext)	LED201,OUT,IN0,M3,M2,WAS3	LED0603-RD	6	FC-D1608HOK-600H	NATIONSTAR	LCSC	C84269	
61	green  (mod)	LED203	LED0603-RD	1	19-217/GHC-YR1S2/3T	Everlight Elec	LCSC	C72043	
62	1.8K  (mod)	R42,R305	R0603	2	0603WAF1801T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C4177	
63	10Ω	R102,R118,R119,R207,R208,R209	R0603	6	0603WAF100JT5E	UniOhm	LCSC	C22859	
64	10K  (mod)	R105,R106,R115	R0603	3	0603WAF1002T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C25804	
65	7.5K  (mod)	R110	R0603	1	0603WAF7501T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C23234	
66	9.1K  (mod)	R111	R0603	1	0603WAF9101T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C23260	
67	56K  (mod)	R112	R0603	1	0603WAF5602T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C23206	
68	LM5175PWPR (ext)	U100	HTSSOP-28_L9.8-W4.5-P0.65-LS6.6-BL-EP	1	LM5175PWPR	Texas Instruments	LCSC	C113356	
69	FUSB302BMPX (ext)	U200	MLP-14_L2.5-W2.5-P0.50-BL-EP	1	FUSB302BMPX	ON	LCSC	C132291	
70	TPS54331DR	U300	SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL	1	TPS54331DR	TI	LCSC	C9865	
71	100uF	C2	CAP-SMD_L3.5-W2.8	1	TAJB107K006RNJ	AVX	LCSC	C16133	
72	SMCJ5.0A (ext)	D5	SMC_L6.9-W5.9-LS7.9-RD	1	SMCJ5.0A	Yenji	LCSC	C140785	
73	22  (mod)	R1	R1206	1	1206W4F220JT5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C17958	
74	HR913550A (ext)	RJ1	RJ45-TH_HR913550A	1	HR913550A	HANRUN	LCSC	C163507	
75	HT7533-1_C14289	U7	SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR	1	HT7533-1	HOLTEK	LCSC	C14289	
76	USB A/F 90° Outside the buckle straight foot (ext)	USB1,USB2	USB-A-TH_USB-M-1_C2346	2	USB A/F 90° Outside the buckle straight foot	ValuePro	LCSC	C2346	
77	TYPE-C-31-M-12 (ext)	USBC1	USB-C_SMD-TYPE-C-31-M-12	1	TYPE-C-31-M-12	Rectangular Connectors - Contacts	LCSC	C165948	
78	1uF 50V (mod)	C14,C36,C40,C42,C46,C47,C49	C0603	7	CL10A105KB8NNNC	Samsung Electro-Mechanics	LCSC	C15849	
79	10uF 50V (mod)	C30	C1206	1	CL31A106KBHNNNE	Samsung Electro-Mechanics	LCSC	C13585	
80	SMCJ33CA (ext)	D1	SMC_L6.9-W5.9-LS7.9-BI	1	SMCJ33CA	Brightking Elec (TAIWAN)	LCSC	C310048	
81	ZMM5V6	D12,D13,D30	LL-34_L3.5-W1.5-RD	3	ZMM5V6	SEMTECH	LCSC	C8062	
82	2.7k  (mod)	R24	R0603	1	0603WAF2701T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C13167	
83	2.2k  (mod)	R25	R0603	1	0603WAF2201T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C4190	
84	blue  (mod)	TX485,TXCAN1,TXCAN2,TXCAN3	LED0603-RD	4	19-217/BHC-ZL1M2RY/3T	Everlight Elec	LCSC	C72041	
85	Teensy4.1 ETH only (ext)	U6	TEENSY4.1 ETH ONLY	1	Teensy4.1	PJRC			
86	KY3485LEEN  (mod)	U8	SO-8_L4.9-W3.9-P1.27-LS5.9-BL	1	SP3485EN-L/TR	MaxLinear	LCSC	C8963	
87	BTN8982TAAUMA1 (ext)	U9	TO-263-7_L10.2-W10.4-P1.27-LS14.4-B	1	BTN8982TAAUMA1	Infineon	LCSC	C74175	
88	TJA1051T/3/1J (ext)	U12,U19,U20	SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL	3	TJA1051T/3/1J	NXP	LCSC	C38695	
89	ADS1115IDGSR (ext)	U17	MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL	1	ADS1115IDGSR	TI	LCSC	C37593	
90	FC-D1608HYK-588J (ext)	WAS2	LED0603-RD	1	FC-D1608HYK-588J	NATIONSTAR	LCSC	C84268	
91	Bynav_minimal (ext)	U900	BYNAV_C1_MINIMAL	1					
92	Solder Bridge (ext)	J20,J17	SOLDER BRIDGE	2					
93	U10 (ext)	ARDUSIMPLE1	ARDUSIMPLE_MECH_FLIPPED	1		Ardusimple			
94	U11 (ext)	ARDUSIMPLE2	ARDUSIMPLE_MECH_FLIPPED	1		Ardusimple			
95	CMPS14 (ext)	U15	CMPS14	1					
96	47k (mod)	R35,R51	R0603	2	0603WAF4702T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C25819	
97	SOD-323_L1.8-W1.3-LS2.5-RD	D34,D32,D33	SOD-323_L1.8-W1.3-LS2.5-RD	3					
