ID	Name (ext)	Designator	Footprint	Quantity	Manufacturer Part	Manufacturer	Supplier	Supplier Part	Price
1	B5819W_C8598  (mod)	D25,D24,D22,D6,D31,D23,D9,D20,D3,D39,D4,D7,D8,D10,D11,D14,D15,D16,D17,D18,D19	SOD-123_L2.8-W1.8-LS3.7-RD	21	B5819W SL	Changjiang Electronics Tech (CJ)	LCSC	C8598	0.044
2	1uF 50V (mod)	C10,C8,C3,C19,C21,C54,C57,C69,C70,C79,C80,C14,C36,C42	C0603	14	CL10A105KB8NNNC	Samsung Electro-Mechanics	LCSC	C15849	0.004
3	100nF 50V (mod)	C20,C304,C303,C302,C55,C56,C78,C11,C5,C27,C1,C9,C33,C41	C0603	14	CC0603KRX7R9BB104	YAGEO	LCSC	C14663	0.01
4	10K  (mod)	R2,R305,R304,R303,R302,R301,R300,R212,R208,R209,R18,R53,R54,R55,R61,R62,R109,R113,R114,R10,R3,R4,R40,R41,R63,R65,R72,R73,R74,R80,R82,R92,R94,R95,R96,R800,R27,R30,R84,R8,R5,R13,R48,R51	R0603	44	0603WAF1002T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C25804	0.001
5	1K  (mod)	R260,R42,R259,R14,R200,R201,R203,R211,R89,R106,R107,R108,R9,R59,R52,R31,R32,R34,R39,R49,R50,R64,R78,R87,R88,R90,R91,R101,R103,R104,R105,R36,R801,R23,R17,R15,R11,R12,R20,R21,R57,R58	R0603	42	0603WAF1001T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C21190	0.001
6	CH340B (ext)	U5,U22,U23	SOIC-16_L9.9-W3.9-P1.27-LS6.0-BL	3	CH340B	WCH	LCSC	C81010	
7	A2541WV-7P (ext)	PRGBOOT	HDR-TH_7P-P2.54-V-M	1	A2541WV-7P	Changjiang Connectors	LCSC	C225482	
8	BC846AMTF  (mod)	Q4,Q10,Q13,Q18,Q21,Q24	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	6	MMBT2222A 1P	Changjiang Electronics Tech (CJ)	LCSC	C8512	
9	BSS138  (mod)	Q14,Q15	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	2	LBSS84LT1G	LRC	LCSC	C8492	
10	10  (mod)	R26,R98	R0603	2	0603WAF100JT5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C22859	
11	A2541WV-2P (ext)	NANO_OFF,ON1,CAN_PWR,CAN_PWR1,J3	HDR-TH_P2.54-H-M_A2541WV-2P	5	A2541WV-2P	CJT(Changjiang Connectors)	LCSC	C225477	
12	1.8K  (mod)	R60,R68,R22,R24,R29,R35,R250,R257,R258	R0603	9	0603WAF1801T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C4177	
13	BZT52C18_C266571 (ext)	D21,D250	SOD-123_L2.8-W1.8-LS3.7-RD	2	BZT52C18	Bourne Semicon (Shenzhen)	LCSC	C266571	
14	2N7002  (mod)	Q9,Q12,Q11,Q5,Q3	SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR	5	2N7002	Changjiang Electronics Tech (CJ)	LCSC	C8545	0.023
15	100k  (mod)	R253,R254,R255	R0603	3	0603WAF1003T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C25803	
16	10K  (mod)	R261,R256	R0603	2	0603WAF1002T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C25804	
17	1M  (mod)	R252,R262,R210	R0603	3	0603WAF1004T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C22935	
18	32.768KHz (ext)	X300	OSC-SMD_L3.2-W1.5	1	DST310S 32.768KHz	KDS	LCSC	C93232	
19	BNO085 (ext)	U300	BNO085	1					
20	22pF 50V (mod)	C301,C300,C81,C82	C0603	4	CL10C220JB8NNNC	Samsung Electro-Mechanics	LCSC	C1653	
21	AMS1117-3.3	U4	SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR	1	AMS1117-3.3	AMS	LCSC	C6186	
22	white  (mod)	3V3,5V,12V	LED0603-R-RD	3	C2290	Hubei KENTO Elec	LCSC	C2290	
23	51  (mod)	_R251,R202,R204,R205,R206	R0603	4	0603WAF510JT5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C23197	
24	22uF 25V (mod)	C250	C0805	1	CL21A226MAQNNNE	Samsung Electro-Mechanics	LCSC	C45783	0.021
25	4.7nF 50V (mod)	C251,C252	C0603	2	0603B472K500NT	FH(Guangdong Fenghua Advanced Tech)	LCSC	C53987	
26	33pF 50V (mod)	C253	C0603	1	CL10C330JB8NNNC	Samsung Electro-Mechanics	LCSC	C1663	
27	100nF 50V (mod)	C254	C0603	1	CC0603KRX7R9BB104	YAGEO	LCSC	C14663	
28	22uF 6.3V (mod)	C255,C256,C257	C0603	3	CL10A226MQ8NRNC	Samsung Electro-Mechanics	LCSC	C59461	0.008
29	SS34_C8678	D251,D2	DO-214AC_L4.3-W2.7-LS5.3-RD	2	SS34	MDD	LCSC	C8678	0.053
30	6.8uH (ext)	L250	IND-SMD_L6.0-W6.0_SWPA6045S	1	SWPA6028S6R8MT	Sunlord	LCSC	C42261	0.067
31	red  (mod)	REV	LED0603-R-RD	1	KT-0603R	Hubei KENTO Elec	LCSC	C2286	
32	TPS54331DR	U250	SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL	1	TPS54331DR	TI	LCSC	C9865	0.382
33	180uF (ext)	C258,C15,C16,C12,C13,C6,C7	CAP-SMD_BD8.0-L8.3-W8.3-RD	7	OVZ181M1DTR-0807	Lelon	LCSC	C384618	0.389
34	2.2K  (mod)	R207	R0603	1	0603WAF2201T5E	UNI-ROYAL(Uniroyal Elec)	LCSC	C4190	
35	ZMM5V6	D12,D13	LL-34_L3.5-W1.5-RD	2	ZMM5V6	SEMTECH	LCSC	C8062	0.016
36	100nF 50V (mod)	C202	C0603	1	CC0603KRX7R9BB104	YAGEO	LCSC	C14663	
37	100nF 50V (mod)	C203,C210,C211,C212,C213,C206,C207,C208,C209	C0603	9	CC0603KRX7R9BB104	YAGEO	LCSC	C14663	0.002
38	22nH (ext)	L200	402	1	LQG15HS22NJ02D	MuRata	LCSC	C12670	
39	HR913550A (ext)	RJ200	HR913550A	1	HR913550A	HANRUN	LCSC	C163507	1.061
40	W5500 (ext)	U200	QFP-48_LSA9.20-LSB9.20-PITCH0.50-TL	1	W5500	WIZNET	LCSC	C32843	
41	10nF 50V (mod)	C200,C201,C214	C0603	3	0603B103K500NT	FH(Guangdong Fenghua Advanced Tech)	LCSC	C57112	
